Offset,Instruction
00011000,PUSH EBX
00011001,SUB ESP,0x8
00011004,CALL 0x00012010
00011009,ADD EBX,0x2ffeb
0001100f,MOV EAX,dword ptr [EBX + 0xffffffe8]
00011015,TEST EAX,EAX
00011017,JZ 0x0001101b
00011019,CALL EAX
0001101b,ADD ESP,0x8
0001101e,POP EBX
0001101f,RET
00011020,PUSH dword ptr [EBX + 0x4]
00011026,JMP dword ptr [EBX + 0x8]
00011030,JMP dword ptr [EBX + 0xc]
00011036,PUSH 0x0
0001103b,JMP 0x00011020
00011040,JMP dword ptr [EBX + 0x10]
00011046,PUSH 0x8
0001104b,JMP 0x00011020
00011050,JMP dword ptr [EBX + 0x14]
00011056,PUSH 0x10
0001105b,JMP 0x00011020
00011060,JMP dword ptr [EBX + 0x18]
00011066,PUSH 0x18
0001106b,JMP 0x00011020
00011070,JMP dword ptr [EBX + 0x1c]
00011076,PUSH 0x20
0001107b,JMP 0x00011020
00011080,JMP dword ptr [EBX + 0x20]
00011086,PUSH 0x28
0001108b,JMP 0x00011020
00011090,JMP dword ptr [EBX + 0x24]
00011096,PUSH 0x30
0001109b,JMP 0x00011020
000110a0,JMP dword ptr [EBX + 0x28]
000110a6,PUSH 0x38
000110ab,JMP 0x00011020
000110b0,JMP dword ptr [EBX + 0x2c]
000110b6,PUSH 0x40
000110bb,JMP 0x00011020
000110c0,JMP dword ptr [EBX + 0x30]
000110c6,PUSH 0x48
000110cb,JMP 0x00011020
000110d0,JMP dword ptr [EBX + 0x34]
000110d6,PUSH 0x50
000110db,JMP 0x00011020
000110e0,JMP dword ptr [EBX + 0x38]
000110e6,PUSH 0x58
000110eb,JMP 0x00011020
000110f0,JMP dword ptr [EBX + 0x3c]
000110f6,PUSH 0x60
000110fb,JMP 0x00011020
00011100,JMP dword ptr [EBX + 0x40]
00011106,PUSH 0x68
0001110b,JMP 0x00011020
00011110,JMP dword ptr [EBX + 0x44]
00011116,PUSH 0x70
0001111b,JMP 0x00011020
00011120,JMP dword ptr [EBX + 0x48]
00011126,PUSH 0x78
0001112b,JMP 0x00011020
00011130,JMP dword ptr [EBX + 0x4c]
00011136,PUSH 0x80
0001113b,JMP 0x00011020
00011140,JMP dword ptr [EBX + 0x50]
00011146,PUSH 0x88
0001114b,JMP 0x00011020
00011150,JMP dword ptr [EBX + 0x54]
00011156,PUSH 0x90
0001115b,JMP 0x00011020
00011160,JMP dword ptr [EBX + 0x58]
00011166,PUSH 0x98
0001116b,JMP 0x00011020
00011170,JMP dword ptr [EBX + 0x5c]
00011176,PUSH 0xa0
0001117b,JMP 0x00011020
00011180,JMP dword ptr [EBX + 0x60]
00011186,PUSH 0xa8
0001118b,JMP 0x00011020
00011190,JMP dword ptr [EBX + 0x64]
00011196,PUSH 0xb0
0001119b,JMP 0x00011020
000111a0,JMP dword ptr [EBX + 0x68]
000111a6,PUSH 0xb8
000111ab,JMP 0x00011020
000111b0,JMP dword ptr [EBX + 0x6c]
000111b6,PUSH 0xc0
000111bb,JMP 0x00011020
000111c0,JMP dword ptr [EBX + 0x70]
000111c6,PUSH 0xc8
000111cb,JMP 0x00011020
000111d0,JMP dword ptr [EBX + 0x74]
000111d6,PUSH 0xd0
000111db,JMP 0x00011020
000111e0,JMP dword ptr [EBX + 0x78]
000111e6,PUSH 0xd8
000111eb,JMP 0x00011020
000111f0,JMP dword ptr [EBX + 0x7c]
000111f6,PUSH 0xe0
000111fb,JMP 0x00011020
00011200,JMP dword ptr [EBX + 0x80]
00011206,PUSH 0xe8
0001120b,JMP 0x00011020
00011210,JMP dword ptr [EBX + 0x84]
00011216,PUSH 0xf0
0001121b,JMP 0x00011020
00011220,JMP dword ptr [EBX + 0x88]
00011226,PUSH 0xf8
0001122b,JMP 0x00011020
00011230,JMP dword ptr [EBX + 0x8c]
00011236,PUSH 0x100
0001123b,JMP 0x00011020
00011240,JMP dword ptr [EBX + 0x90]
00011246,PUSH 0x108
0001124b,JMP 0x00011020
00011250,JMP dword ptr [EBX + 0x94]
00011256,PUSH 0x110
0001125b,JMP 0x00011020
00011260,JMP dword ptr [EBX + 0x98]
00011266,PUSH 0x118
0001126b,JMP 0x00011020
00011270,JMP dword ptr [EBX + 0x9c]
00011276,PUSH 0x120
0001127b,JMP 0x00011020
00011280,JMP dword ptr [EBX + 0xa0]
00011286,PUSH 0x128
0001128b,JMP 0x00011020
00011290,JMP dword ptr [EBX + 0xa4]
00011296,PUSH 0x130
0001129b,JMP 0x00011020
000112a0,JMP dword ptr [EBX + 0xa8]
000112a6,PUSH 0x138
000112ab,JMP 0x00011020
000112b0,JMP dword ptr [EBX + 0xac]
000112b6,PUSH 0x140
000112bb,JMP 0x00011020
000112c0,JMP dword ptr [EBX + 0xb0]
000112c6,PUSH 0x148
000112cb,JMP 0x00011020
000112d0,JMP dword ptr [EBX + 0xb4]
000112d6,PUSH 0x150
000112db,JMP 0x00011020
000112e0,JMP dword ptr [EBX + 0xb8]
000112e6,PUSH 0x158
000112eb,JMP 0x00011020
000112f0,JMP dword ptr [EBX + 0xbc]
000112f6,PUSH 0x160
000112fb,JMP 0x00011020
00011300,JMP dword ptr [EBX + 0xc0]
00011306,PUSH 0x168
0001130b,JMP 0x00011020
00011310,JMP dword ptr [EBX + 0xc4]
00011316,PUSH 0x170
0001131b,JMP 0x00011020
00011320,JMP dword ptr [EBX + 0xc8]
00011326,PUSH 0x178
0001132b,JMP 0x00011020
00011330,JMP dword ptr [EBX + 0xcc]
00011336,PUSH 0x180
0001133b,JMP 0x00011020
00011340,JMP dword ptr [EBX + 0xd0]
00011346,PUSH 0x188
0001134b,JMP 0x00011020
00011350,JMP dword ptr [EBX + 0xd4]
00011356,PUSH 0x190
0001135b,JMP 0x00011020
00011360,JMP dword ptr [EBX + 0xd8]
00011366,PUSH 0x198
0001136b,JMP 0x00011020
00011370,JMP dword ptr [EBX + 0xffffffe4]
00011380,SUB ESP,0xc
00011383,LEA EDX,[EBX + 0xffff0edf]
00011389,MOV dword ptr [EBP + -0x2c],EAX
0001138c,PUSH EDX
0001138d,CALL 0x000110f0
00011392,MOV EAX,dword ptr [EBP + -0x2c]
00011395,ADD ESP,0x10
00011398,JMP 0x00011d16
0001139d,LEA EAX,[EBX + 0xffff0eea]
000113a3,PUSH ECX
000113a4,PUSH 0x0
000113a6,PUSH dword ptr [EBX + 0x664]
000113ac,PUSH EAX
000113ad,LEA EAX,[EBX + 0xffff0eed]
000113b3,PUSH dword ptr [EBX + 0x668]
000113b9,PUSH EAX
000113ba,LEA EAX,[EBX + 0xffff0ffe]
000113c0,PUSH EAX
000113c1,PUSH EAX
000113c2,CALL 0x000110c0
000113c7,ADD ESP,0x14
000113ca,LEA EAX,[EBX + 0xffff0ef0]
000113d0,PUSH EAX
000113d1,CALL 0x000110f0
000113d6,ADD ESP,0x10
000113d9,JMP 0x00011e89
000113de,SUB ESP,0xc
000113e1,LEA EAX,[EBX + 0xffff0ee5]
000113e7,PUSH EAX
000113e8,CALL 0x000110f0
000113ed,ADD ESP,0x10
000113f0,JMP 0x00011e89
000113f5,SUB ESP,0xc
000113f8,LEA EAX,[EBX + 0xffff0ed6]
000113fe,PUSH EAX
000113ff,CALL 0x000110f0
00011404,ADD ESP,0x10
00011407,JMP 0x00011edb
0001140c,SUB ESP,0xc
0001140f,LEA EAX,[EBX + 0xffff0e30]
00011415,PUSH EAX
00011416,CALL 0x000110f0
0001141b,ADD ESP,0x10
0001141e,JMP 0x00011a3f
00011423,LEA EAX,[EBX + 0xffff2e80]
00011429,PUSH EAX
0001142a,LEA EAX,[EBX + 0xffff11cd]
00011430,PUSH 0x3f3
00011435,PUSH EAX
00011436,LEA EAX,[EBX + 0xffff11d3]
0001143c,PUSH EAX
0001143d,CALL 0x00011340
00011442,LEA EAX,[EBX + 0xffff3d1c]
00011448,PUSH EAX
00011449,LEA EAX,[EBX + 0xffff161f]
0001144f,PUSH 0x4c
00011451,PUSH EAX
00011452,LEA EAX,[EBX + 0xffff1625]
00011458,PUSH EAX
00011459,CALL 0x00011340
0001145e,LEA EAX,[EBX + 0xffff387c]
00011464,PUSH EAX
00011465,LEA EAX,[EBX + 0xffff161f]
0001146b,PUSH 0x543
00011470,PUSH EAX
00011471,LEA EAX,[EBX + 0xffff16ae]
00011477,PUSH EAX
00011478,CALL 0x00011340
0001147d,PUSH EBX
0001147e,CALL 0x00012010
00011483,ADD EBX,0x2fb71
00011489,SUB ESP,0x8
0001148c,LEA EAX,[EBX + 0xffff3c6c]
00011492,PUSH EAX
00011493,LEA EAX,[EBX + 0xffff161f]
00011499,PUSH 0xa3
0001149e,PUSH EAX
0001149f,LEA EAX,[EBX + 0xffff16ce]
000114a5,PUSH EAX
000114a6,CALL 0x00011340
000114ab,PUSH EBX
000114ac,CALL 0x00012010
000114b1,ADD EBX,0x2fb43
000114b7,SUB ESP,0x8
000114ba,LEA EAX,[EBX + 0xffff3b38]
000114c0,PUSH EAX
000114c1,LEA EAX,[EBX + 0xffff161f]
000114c7,PUSH 0x96
000114cc,PUSH EAX
000114cd,LEA EAX,[EBX + 0xffff16ce]
000114d3,PUSH EAX
000114d4,CALL 0x00011340
000114d9,PUSH EBX
000114da,CALL 0x00012010
000114df,ADD EBX,0x2fb15
000114e5,SUB ESP,0x8
000114e8,LEA EAX,[EBX + 0xffff3c90]
000114ee,PUSH EAX
000114ef,LEA EAX,[EBX + 0xffff161f]
000114f5,PUSH 0x6f
000114f7,PUSH EAX
000114f8,LEA EAX,[EBX + 0xffff16dc]
000114fe,PUSH EAX
000114ff,CALL 0x00011340
00011504,LEA EAX,[EBX + 0xffff3890]
0001150a,PUSH EAX
0001150b,LEA EAX,[EBX + 0xffff161f]
00011511,PUSH 0x4f5
00011516,PUSH EAX
00011517,LEA EAX,[EBX + 0xffff1790]
0001151d,PUSH EAX
0001151e,CALL 0x00011340
00011523,LEA EAX,[EBX + 0xffff38b0]
00011529,PUSH EAX
0001152a,LEA EAX,[EBX + 0xffff161f]
00011530,PUSH 0x553
00011535,PUSH EAX
00011536,LEA EAX,[EBX + 0xffff17b5]
0001153c,PUSH EAX
0001153d,CALL 0x00011340
00011542,CALL 0x0001147d
00011547,CALL 0x0001147d
0001154c,CALL 0x0001147d
00011551,LEA EAX,[EBX + 0xffff39f8]
00011557,PUSH EAX
00011558,LEA EAX,[EBX + 0xffff161f]
0001155e,PUSH 0x11c
00011563,PUSH EAX
00011564,LEA EAX,[EBX + 0xffff19ee]
0001156a,PUSH EAX
0001156b,CALL 0x00011340
00011570,CALL 0x000114ab
00011575,LEA EAX,[EBX + 0xffff3bb4]
0001157b,PUSH EAX
0001157c,PUSH 0x385
00011581,LEA EAX,[EBX + 0xffff161f]
00011587,PUSH EAX
00011588,LEA EAX,[EBX + 0xffff1ca1]
0001158e,PUSH EAX
0001158f,CALL 0x00011340
00011594,LEA EAX,[EBX + 0xffff3bfc]
0001159a,PUSH EAX
0001159b,PUSH 0x365
000115a0,JMP 0x00011581
000115a2,CALL 0x0001147d
000115a7,LEA EAX,[EBX + 0xffff3be4]
000115ad,PUSH EAX
000115ae,LEA EAX,[EBX + 0xffff161f]
000115b4,PUSH 0x379
000115b9,PUSH EAX
000115ba,LEA EAX,[EBX + 0xffff1d20]
000115c0,PUSH EAX
000115c1,CALL 0x00011340
000115c6,LEA EAX,[EBX + 0xffff3ccc]
000115cc,PUSH EAX
000115cd,LEA EAX,[EBX + 0xffff161f]
000115d3,PUSH 0x162
